"batch","Timestamp","Start.End"
"Batch1.","9/27/2019 10:59:42","Start"
"Batch1.","9/27/2019 11:59:23","End"
"Batch1.","9/27/2019 14:26:18","Start"
"Batch1.","9/27/2019 15:23:07","End"
"Batch1.","9/28/2019 12:58:59","Start"
"Batch1.","9/28/2019 13:58:57","End"
"Batch1.","9/29/2019 12:12:44","Start"
"Batch1.","9/29/2019 13:16:08","End"
"Batch1.","9/30/2019 13:53:51","Start"
"Batch1.","9/30/2019 14:53:42","End"
"Batch1.","9/30/2019 15:30:12","Start"
"Batch1.","9/30/2019 16:30:12","End"
"Batch1.","10/1/2019 12:00:46","Start"
"Batch1.","10/1/2019 13:00:18","End"
"Batch1.","10/1/2019 13:07:41","Start"
"Batch1.","10/1/2019 14:05:09","End"
"Batch1.","10/2/2019 12:42:40","Start"
"Batch1.","10/2/2019 13:39:36","End"
"Batch1.","10/2/2019 13:39:51","Start"
"Batch1.","10/2/2019 14:39:05","End"
"Batch10","12/6/2019 13:29:18","Start"
"Batch10","12/6/2019 14:30:10","End"
"Batch10","12/7/2019 14:00:35","Start"
"Batch10","12/7/2019 15:00:07","End"
"Batch10","12/8/2019 12:50:17","Start"
"Batch10","12/8/2019 13:49:55","End"
"Batch10","12/8/2019 14:50:39","Start"
"Batch10","12/8/2019 15:50:02","End"
"Batch10","12/9/2019 13:29:46","Start"
"Batch10","12/9/2019 14:25:43","End"
"Batch10","12/9/2019 14:25:55","Start"
"Batch10","12/9/2019 15:25:05","End"
"Batch10","12/10/2019 13:33:08","Start"
"Batch10","12/10/2019 14:31:29","End"
"Batch10","12/11/2019 11:04:37","Start"
"Batch10","12/11/2019 12:03:02","End"
"Batch10","12/11/2019 13:02:50","Start"
"Batch10","12/11/2019 14:00:10","End"
"Batch11","12/7/2019 13:02:26","Start"
"Batch11","12/7/2019 14:00:13","End"
"Batch11","12/7/2019 15:00:21","Start"
"Batch11","12/7/2019 15:59:39","End"
"Batch11","12/8/2019 13:50:40","Start"
"Batch11","12/8/2019 14:50:28","End"
"Batch11","12/9/2019 9:58:06","Start"
"Batch11","12/9/2019 11:00:31","End"
