"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000021998",0.809822554133764,-0.24049315466411,"Lcp1","14","lymphocyte cytosolic protein 1","greenyellow"
"ENSMUSG00000023073",0.883374111771943,-0.200050588091262,"Slc10a2","8","solute carrier family 10, member 2","greenyellow"
"ENSMUSG00000038914",0.805401598402552,-0.2554025428615,"Dido1","2","death inducer-obliterator 1","greenyellow"
"ENSMUSG00000112522",0.890188347918756,-0.204285127863524,"Gm47632","10","predicted gene, 47632","greenyellow"
"ENSMUSG00000021096",0.804761046773051,-0.249225370392055,"Ppm1a","12","protein phosphatase 1A, magnesium dependent, alpha isoform","pink"
"ENSMUSG00000021057",0.807491018268623,0.231701010133815,"Akap5","12","A kinase (PRKA) anchor protein 5","cyan"
"ENSMUSG00000020848",0.817951658576592,0.235454800849772,"Doc2b","11","double C2, beta","green"
"ENSMUSG00000021130",0.845318588336018,0.208998629453612,"Galnt16","12","polypeptide N-acetylgalactosaminyltransferase 16","green"
"ENSMUSG00000032076",0.875617296573849,0.201718119172391,"Cadm1","9","cell adhesion molecule 1","green"
"ENSMUSG00000003378",0.82091825194754,0.291238540491987,"Grik5","7","glutamate receptor, ionotropic, kainate 5 (gamma 2)","darkturquoise"
"ENSMUSG00000004929",0.820708079430594,0.28902540735437,"Thop1","10","thimet oligopeptidase 1","darkturquoise"
"ENSMUSG00000020882",0.863460551067267,0.209495688747479,"Cacnb1","11","calcium channel, voltage-dependent, beta 1 subunit","darkturquoise"
"ENSMUSG00000024873",0.846896499794395,0.227389222782673,"Cnih2","19","cornichon family AMPA receptor auxiliary protein 2","darkturquoise"
"ENSMUSG00000042388",0.80729926153217,0.236459660690788,"Dlgap3","4","DLG associated protein 3","darkturquoise"
"ENSMUSG00000062044",0.819532637908553,0.241895122097171,"Lmtk3","7","lemur tyrosine kinase 3","darkturquoise"
"ENSMUSG00000036306",0.832327500687822,0.228003232459706,"Lzts1","8","leucine zipper, putative tumor suppressor 1","brown"
"ENSMUSG00000040563",0.84020151709718,0.209619700966661,"Plppr2","9","phospholipid phosphatase related 2","brown"
"ENSMUSG00000053963",0.849637854311156,0.2262131374298,"Stum","1","mechanosensory transduction mediator","brown"
"ENSMUSG00000024290",0.846373711862295,-0.24510299958866,"Rock1","18","Rho-associated coiled-coil containing protein kinase 1","blue"
"ENSMUSG00000039531",0.847141900704634,-0.220683966830113,"Zup1","10","zinc finger containing ubiquitin peptidase 1","blue"
"ENSMUSG00000051003",0.856978653526811,-0.231780336804368,"Olfr161","16","olfactory receptor 161","blue"
"ENSMUSG00000091318",0.843224959831801,-0.257469484573283,"Gm5415","1","predicted gene 5415","blue"
"ENSMUSG00000094747",0.92221705128082,-0.208930857594536,"Olfr1307","2","olfactory receptor 1307","blue"
"ENSMUSG00000106631",0.817475538963092,-0.230283952241995,"Gm42669","5","predicted gene 42669","blue"
"ENSMUSG00000111590",0.814286707441549,-0.201345808770619,"Olfr1192-ps1","2","olfactory receptor 1192, pseudogene 1","blue"
"ENSMUSG00000112122",0.865436221480969,-0.215246404519136,"Gm47628","10","predicted gene, 47628","blue"
"ENSMUSG00000113684",0.855489367602394,-0.239865236115305,"Gm48418","12","predicted gene, 48418","blue"
"ENSMUSG00000114257",0.863417070822466,-0.241971505535714,NA,NA,NA,"blue"
"ENSMUSG00000117853",0.895071036591583,-0.220280516627474,"Vmn1r88","7","vomeronasal 1 receptor, 88","blue"
"ENSMUSG00000003345",0.805946412761114,0.269935488408764,"Csnk1g2","10","casein kinase 1, gamma 2","lightgreen"
"ENSMUSG00000007950",0.868996927724934,0.305099414913455,"Abhd8","8","abhydrolase domain containing 8","lightgreen"
"ENSMUSG00000023495",0.868573892328552,0.229938273284818,"Pcbp4","9","poly(rC) binding protein 4","lightgreen"
"ENSMUSG00000024381",0.811108692663965,0.272568973238008,"Bin1","18","bridging integrator 1","lightgreen"
"ENSMUSG00000024858",0.819927047865621,0.284810668330464,"Grk2","19","G protein-coupled receptor kinase 2","lightgreen"
"ENSMUSG00000035203",0.848313418567243,0.329166581947867,"Epn1","7","epsin 1","lightgreen"
"ENSMUSG00000057666",0.862664190481783,0.223035415366972,"Gapdh","6","glyceraldehyde-3-phosphate dehydrogenase","lightgreen"
"ENSMUSG00000059288",0.812232144278469,0.302357962941511,"Cdyl","13","chromodomain protein, Y chromosome-like","lightgreen"
"ENSMUSG00000001520",0.840721220198245,0.228681418996729,"Nrip2","6","nuclear receptor interacting protein 2","royalblue"
"ENSMUSG00000024598",0.811494564739695,0.22480069991539,"Fbn2","18","fibrillin 2","orange"
"ENSMUSG00000040125",0.830728010361302,-0.257671334899277,"Gpr26","7","G protein-coupled receptor 26","orange"
