"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000000184",0.893538172640373,-0.547835591233571,"Ccnd2","6","cyclin D2","brown"
"ENSMUSG00000002489",0.804725819376442,-0.443295907213052,"Tiam1","16","T cell lymphoma invasion and metastasis 1","brown"
"ENSMUSG00000005506",0.817154838994582,-0.435365623818023,"Celf1","2","CUGBP, Elav-like family member 1","brown"
"ENSMUSG00000005533",0.84035007791612,-0.415054710996507,"Igf1r","7","insulin-like growth factor I receptor","brown"
"ENSMUSG00000006435",0.875657939991262,-0.443105772106888,"Neurl1a","19","neuralized E3 ubiquitin protein ligase 1A","brown"
"ENSMUSG00000008575",0.873519963185618,-0.426424934718068,"Nfib","4","nuclear factor I/B","brown"
"ENSMUSG00000015143",0.855325758607332,-0.605723499431465,"Actn1","12","actinin, alpha 1","brown"
"ENSMUSG00000015568",0.857920292749176,-0.518029384588636,"Lpl","8","lipoprotein lipase","brown"
"ENSMUSG00000019726",0.82607861323794,-0.377237154274299,"Lyst","13","lysosomal trafficking regulator","brown"
"ENSMUSG00000019831",0.814886119611047,-0.428652482431515,"Wasf1","10","WASP family, member 1","brown"
"ENSMUSG00000020015",0.848779608776989,-0.565158129699589,"Cdk17","10","cyclin-dependent kinase 17","brown"
"ENSMUSG00000020061",0.853256302146466,-0.524938234282877,"Mybpc1","10","myosin binding protein C, slow-type","brown"
"ENSMUSG00000020134",0.863070585844707,-0.586816575140409,"Peli1","11","pellino 1","brown"
"ENSMUSG00000020848",0.860109557908917,-0.486313742903347,"Doc2b","11","double C2, beta","brown"
"ENSMUSG00000020892",0.823378231640868,-0.541336572784328,"Aloxe3","11","arachidonate lipoxygenase 3","brown"
"ENSMUSG00000021559",0.824394720885997,-0.640750252406454,"Dapk1","13","death associated protein kinase 1","brown"
"ENSMUSG00000021779",0.836264748198266,-0.471305120625868,"Thrb","14","thyroid hormone receptor beta","brown"
"ENSMUSG00000022099",0.803676698056048,-0.437308446250759,"Dmtn","14","dematin actin binding protein","brown"
"ENSMUSG00000022180",0.82636282112024,-0.369459714533775,"Slc7a8","14","solute carrier family 7 (cationic amino acid transporter, y+ system), member 8","brown"
"ENSMUSG00000022836",0.831608892986011,-0.342963548609566,"Mylk","16","myosin, light polypeptide kinase","brown"
"ENSMUSG00000022861",0.862319014038057,-0.491547886141556,"Dgkg","16","diacylglycerol kinase, gamma","brown"
"ENSMUSG00000024589",0.809649084776193,-0.503698327093523,"Nedd4l","18","neural precursor cell expressed, developmentally down-regulated gene 4-like","brown"
"ENSMUSG00000024617",0.895698679390257,-0.513668219221229,"Camk2a","18","calcium/calmodulin-dependent protein kinase II alpha","brown"
"ENSMUSG00000024883",0.898801189778011,-0.453431408041191,"Rin1","19","Ras and Rab interactor 1","brown"
"ENSMUSG00000025170",0.852522539577867,-0.553767258405288,"Rab40b","11","Rab40B, member RAS oncogene family","brown"
"ENSMUSG00000025427",0.844361100992919,-0.515660861665198,"Rnf165","18","ring finger protein 165","brown"
"ENSMUSG00000025571",0.871790363525664,-0.4621158659559,"Tnrc6c","11","trinucleotide repeat containing 6C","brown"
"ENSMUSG00000025582",0.823592333175786,-0.39671410912112,"Nptx1","11","neuronal pentraxin 1","brown"
