"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000001089",0.858599648625555,0.639424841608761,"Luzp1","4","leucine zipper protein 1","brown"
"ENSMUSG00000001334",0.928559833233409,0.488864920555507,"Fndc5","4","fibronectin type III domain containing 5","brown"
"ENSMUSG00000001472",0.887147352983126,0.527022271637209,"Tcf25","8","transcription factor 25 (basic helix-loop-helix)","brown"
"ENSMUSG00000002504",0.891943965138132,0.433953510060812,"Slc9a3r2","17","solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2","brown"
"ENSMUSG00000004535",0.854221453679744,0.556307260525332,"Tax1bp1","6","Tax1 (human T cell leukemia virus type I) binding protein 1","brown"
"ENSMUSG00000008489",0.877332977998805,0.502895975962919,"Elavl2","4","ELAV like RNA binding protein 1","brown"
"ENSMUSG00000010066",0.822354233762503,0.462584105617087,"Cacna2d2","9","calcium channel, voltage-dependent, alpha 2/delta subunit 2","brown"
"ENSMUSG00000017781",0.860330690065102,0.521838258372108,"Pitpna","11","phosphatidylinositol transfer protein, alpha","brown"
"ENSMUSG00000018189",0.809059587693158,0.469507723529412,"Uchl5","1","ubiquitin carboxyl-terminal esterase L5","brown"
"ENSMUSG00000018470",0.860919165519147,0.507395116611198,"Kcnab3","11","potassium voltage-gated channel, shaker-related subfamily, beta member 3","brown"
"ENSMUSG00000020366",0.846149136115462,0.610674389160355,"Mapk9","11","mitogen-activated protein kinase 9","brown"
"ENSMUSG00000020396",0.891412595889199,0.563807519732979,"Nefh","11","neurofilament, heavy polypeptide","brown"
"ENSMUSG00000020634",0.886071254030283,0.592329142599285,"Ubxn2a","12","UBX domain protein 2A","brown"
"ENSMUSG00000020657",0.817618436123551,0.526094274148731,"Dnajc27","12","DnaJ heat shock protein family (Hsp40) member C27","brown"
"ENSMUSG00000020708",0.865595214357205,0.450886506736217,"Psmc5","11","protease (prosome, macropain) 26S subunit, ATPase 5","brown"
"ENSMUSG00000020836",0.827507972129176,0.364309299810827,"Coro6","11","coronin 6","brown"
"ENSMUSG00000021536",0.878410875143277,0.501859303289316,"Adcy2","13","adenylate cyclase 2","brown"
"ENSMUSG00000021577",0.869329763552613,0.413871434495383,"Sdha","13","succinate dehydrogenase complex, subunit A, flavoprotein (Fp)","brown"
"ENSMUSG00000021591",0.82806625973453,0.460949514232556,"Glrx","13","glutaredoxin","brown"
"ENSMUSG00000022054",0.861536619412162,0.501160526357959,"Nefm","14","neurofilament, medium polypeptide","brown"
"ENSMUSG00000022055",0.837203526375174,0.487338557529986,"Nefl","14","neurofilament, light polypeptide","brown"
"ENSMUSG00000022076",0.823060530710582,0.477041251801659,"Klhl1","14","kelch-like 1","brown"
"ENSMUSG00000022257",0.923742158680003,0.513960432591599,"Laptm4b","15","lysosomal-associated protein transmembrane 4B","brown"
"ENSMUSG00000022377",0.838523910942894,0.552902442506271,"Asap1","15","ArfGAP with SH3 domain, ankyrin repeat and PH domain1","brown"
"ENSMUSG00000022594",0.855507201129521,0.497952323755768,"Lynx1","15","Ly6/neurotoxin 1","brown"
"ENSMUSG00000022964",0.859948399272667,0.652750188207207,"Tmem50b","16","transmembrane protein 50B","brown"
"ENSMUSG00000023328",0.859992894478831,0.561677728281893,"Ache","5","acetylcholinesterase","brown"
"ENSMUSG00000023909",0.844934866232005,0.514507996215214,"Paqr4","17","progestin and adipoQ receptor family member IV","brown"
"ENSMUSG00000024359",0.822524328988161,0.332313286885337,"Hspa9","18","heat shock protein 9","brown"
"ENSMUSG00000024587",0.82301891873083,0.461162331947888,"Nars","18","asparaginyl-tRNA synthetase","brown"
"ENSMUSG00000024962",0.885064128157342,0.513967998566451,"Vegfb","19","vascular endothelial growth factor B","brown"
"ENSMUSG00000025408",0.839264452958633,0.471657848621949,"Ddit3","10","DNA-damage inducible transcript 3","brown"
"ENSMUSG00000025757",0.802478503183656,0.56768222589126,"Hspa4l","3","heat shock protein 4 like","brown"
"ENSMUSG00000025875",0.899707329615227,0.567792325440745,"Tspan17","13","tetraspanin 17","brown"
"ENSMUSG00000026155",0.874618853824874,0.413050318823462,"Smap1","1","small ArfGAP 1","brown"
"ENSMUSG00000026179",0.833463534144144,0.453183837736925,"Pnkd","1","paroxysmal nonkinesiogenic dyskinesia","brown"
"ENSMUSG00000026260",0.83955790738839,0.51552586729676,"Ndufa10","1","NADH:ubiquinone oxidoreductase subunit A10","brown"
"ENSMUSG00000026452",0.861651667222408,0.501626125527852,"Syt2","1","synaptotagmin II","brown"
"ENSMUSG00000026576",0.855252468436536,0.474529136402845,"Atp1b1","1","ATPase, Na+/K+ transporting, beta 1 polypeptide","brown"
"ENSMUSG00000026664",0.831436919359569,0.542829498865015,"Phyh","2","phytanoyl-CoA hydroxylase","brown"
"ENSMUSG00000026932",0.823663883486889,0.489582745234115,"Nacc2","2","nucleus accumbens associated 2, BEN and BTB (POZ) domain containing","brown"
"ENSMUSG00000027030",0.90041638189665,0.625616765222496,"Stk39","2","serine/threonine kinase 39","brown"
"ENSMUSG00000027200",0.819505448699182,0.609075140101687,"Sema6d","2","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D","brown"
"ENSMUSG00000027706",0.815855720417399,0.490509272069161,"Sec62","3","SEC62 homolog (S. cerevisiae)","brown"
"ENSMUSG00000027750",0.817350477148115,0.381590572391773,"Postn","3","periostin, osteoblast specific factor","brown"
"ENSMUSG00000028532",0.803555736490947,0.338929810769062,"Cachd1","4","cache domain containing 1","brown"
"ENSMUSG00000029219",0.802911732120504,0.503459928086095,"Slc10a4","5","solute carrier family 10 (sodium/bile acid cotransporter family), member 4","brown"
"ENSMUSG00000029221",0.806284914402854,0.399661710166924,"Slc30a9","5","solute carrier family 30 (zinc transporter), member 9","brown"
"ENSMUSG00000030268",0.854982484208141,0.486124590073873,"Bcat1","6","branched chain aminotransferase 1, cytosolic","brown"
"ENSMUSG00000030337",0.916239801174633,0.482979959131979,"Vamp1","6","vesicle-associated membrane protein 1","brown"
"ENSMUSG00000031367",0.84357586896986,0.460297457204579,"Ap1s2","X","adaptor-related protein complex 1, sigma 2 subunit","brown"
"ENSMUSG00000031667",0.822508599130962,0.488226233501818,"Aktip","8","AKT interacting protein","brown"
"ENSMUSG00000031996",0.912244100601647,0.572350457237526,"Aplp2","9","amyloid beta (A4) precursor-like protein 2","brown"
"ENSMUSG00000032294",0.81703071001912,0.546974878195359,"Pkm","9","pyruvate kinase, muscle","brown"
"ENSMUSG00000035891",0.830339856048722,0.509341126922653,"Cerk","15","ceramide kinase","brown"
"ENSMUSG00000036752",0.831317894907895,0.413617904330078,"Tubb4b","2","tubulin, beta 4B class IVB","brown"
"ENSMUSG00000037419",0.8266161632084,0.658262669638142,"Endod1","9","endonuclease domain containing 1","brown"
"ENSMUSG00000038486",0.926233900380538,0.621989519786511,"Sv2a","3","synaptic vesicle glycoprotein 2 a","brown"
"ENSMUSG00000039252",0.857903473721517,0.429578253845019,"Lgi2","5","leucine-rich repeat LGI family, member 2","brown"
"ENSMUSG00000039601",0.895198051673828,0.556910900774575,"Rcan2","17","regulator of calcineurin 2","brown"
"ENSMUSG00000040797",0.805531917204314,0.581759686375864,"Iqsec3","6","IQ motif and Sec7 domain 3","brown"
"ENSMUSG00000041028",0.848584467475459,0.530469582048586,"Ghitm","14","growth hormone inducible transmembrane protein","brown"
"ENSMUSG00000041112",0.801583890914649,0.308119373314735,"Elmo1","13","engulfment and cell motility 1","brown"
"ENSMUSG00000041231",0.817612893729354,0.308658333896878,"Ublcp1","11","ubiquitin-like domain containing CTD phosphatase 1","brown"
"ENSMUSG00000042109",0.804669869738933,0.332381290545259,"Csdc2","15","cold shock domain containing C2, RNA binding","brown"
"ENSMUSG00000042182",0.806454984539542,0.387195213012451,"Bend6","1","BEN domain containing 6","brown"
"ENSMUSG00000045294",0.861797073394627,0.361978338163207,"Insig1","5","insulin induced gene 1","brown"
"ENSMUSG00000045613",0.945736149106698,0.588126417385278,"Chrm2","6","cholinergic receptor, muscarinic 2, cardiac","brown"
"ENSMUSG00000045777",0.804632618478262,0.528479700015517,"Ifitm10","7","interferon induced transmembrane protein 10","brown"
"ENSMUSG00000047126",0.83980384473556,0.414115650808071,"Cltc","11","clathrin, heavy polypeptide (Hc)","brown"
"ENSMUSG00000047496",0.81084127929065,0.542504859023418,"Rnf152","1","ring finger protein 152","brown"
"ENSMUSG00000047547",0.804056028987266,0.329602468667497,"Cltb","13","clathrin, light polypeptide (Lcb)","brown"
"ENSMUSG00000048142",0.853883779473726,0.515624341412558,"Nat8l","5","N-acetyltransferase 8-like","brown"
"ENSMUSG00000048978",0.853228962767663,0.432353885428984,"Nrsn1","13","neurensin 1","brown"
"ENSMUSG00000050379",0.82418610476091,0.559136814806385,"Septin6","X","septin 6","brown"
"ENSMUSG00000053519",0.803866490995413,0.352887132731816,"Kcnip1","11","Kv channel-interacting protein 1","brown"
"ENSMUSG00000055733",0.847023780182937,0.65052093421256,"Nap1l3","X","nucleosome assembly protein 1-like 3","brown"
"ENSMUSG00000057455",0.881659955237632,0.589358003967059,"Rit2","18","Ras-like without CAAX 2","brown"
"ENSMUSG00000060240",0.838740289344196,0.424128184689325,"Cend1","7","cell cycle exit and neuronal differentiation 1","brown"
"ENSMUSG00000062380",0.876149746503418,0.380795133041297,"Tubb3","8","tubulin, beta 3 class III","brown"
"ENSMUSG00000063015",0.901403062709915,0.505351905453828,"Ccni","5","cyclin I","brown"
"ENSMUSG00000064329",0.890721947206849,0.49183752119304,"Scn1a","2","sodium channel, voltage-gated, type I, alpha","brown"
"ENSMUSG00000074909",0.821987016792178,0.555843789008945,"Ranbp6","19","RAN binding protein 6","brown"
"ENSMUSG00000079598",0.804305762081456,0.336392348988381,"Clec2l","6","C-type lectin domain family 2, member L","brown"
"ENSMUSG00000090546",0.8683731549311,0.535284691547361,"Cdr1","X","cerebellar degeneration related antigen 1","brown"
"ENSMUSG00000093536",0.835653751799453,0.49783923156498,"Smim17","7","small integral membrane protein 17","brown"
"ENSMUSG00000096225",0.811655790683951,0.453141327991835,"Lhx8","3","LIM homeobox protein 8","brown"
"ENSMUSG00000002265",0.875126385193688,0.2365846482004,"Peg3","7","paternally expressed 3","magenta"
"ENSMUSG00000019124",0.80659626973516,0.500233438647937,"Scrn1","6","secernin 1","magenta"
"ENSMUSG00000021838",0.806006313834711,0.219329073259594,"Samd4","14","sterile alpha motif domain containing 4","magenta"
"ENSMUSG00000024423",0.826313234376295,0.412501447383684,"Impact","18","impact, RWD domain protein","magenta"
"ENSMUSG00000026458",0.866165899491384,0.250936295836329,"Ppfia4","1","protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4","magenta"
"ENSMUSG00000026883",0.831091821923137,0.362255542840773,"Dab2ip","2","disabled 2 interacting protein","magenta"
"ENSMUSG00000030272",0.824294654599344,0.225626032312762,"Camk1","6","calcium/calmodulin-dependent protein kinase I","magenta"
"ENSMUSG00000031026",0.883694168904971,0.348010417819642,"Trim66","7","tripartite motif-containing 66","magenta"
"ENSMUSG00000031709",0.890185257826544,0.514091361714713,"Tbc1d9","8","TBC1 domain family, member 9","magenta"
"ENSMUSG00000032890",0.9203359913828,0.215611872106526,"Rims3","4","regulating synaptic membrane exocytosis 3","magenta"
"ENSMUSG00000037259",0.934736123733539,0.458489827830651,"Dzank1","2","double zinc ribbon and ankyrin repeat domains 1","magenta"
"ENSMUSG00000040035",0.82286195826322,0.317348100725915,"Disp2","2","dispatched RND tramsporter family member 2","magenta"
"ENSMUSG00000040785",0.815335749426098,0.365896926226465,"Ttc3","16","tetratricopeptide repeat domain 3","magenta"
"ENSMUSG00000044365",0.855267916899326,0.404024160274181,"Cxxc4","3","CXXC finger 4","magenta"
"ENSMUSG00000046844",0.86451281085157,0.467995979771223,"Vat1l","8","vesicle amine transport protein 1 like","magenta"
"ENSMUSG00000047606",0.828577452931268,0.327978423592782,"Ankrd34c","9","ankyrin repeat domain 34C","magenta"
"ENSMUSG00000047907",0.924664793125455,0.385659440313749,"Tshz2","2","teashirt zinc finger family member 2","magenta"
"ENSMUSG00000050711",0.860334979310605,0.370541181872302,"Scg2","1","secretogranin II","magenta"
"ENSMUSG00000052364",0.812347679612392,0.631233863716597,"B630019K06Rik","X","RIKEN cDNA B630019K06 gene","magenta"
"ENSMUSG00000056947",0.804858860775196,0.390908230174645,"Mab21l1","3","mab-21-like 1","magenta"
"ENSMUSG00000059323",0.866631828720186,0.579550906625154,"Tonsl","15","tonsoku-like, DNA repair protein","magenta"
"ENSMUSG00000059857",0.848521230980855,0.220648688693708,"Ntng1","3","netrin G1","magenta"
"ENSMUSG00000061576",0.837824653140164,0.344651715123014,"Dpp6","5","dipeptidylpeptidase 6","magenta"
"ENSMUSG00000062098",0.837684304275036,0.251898409041788,"Btbd3","2","BTB (POZ) domain containing 3","magenta"
"ENSMUSG00000063873",0.818936499731112,0.481468566103911,"Slc24a3","2","solute carrier family 24 (sodium/potassium/calcium exchanger), member 3","magenta"
"ENSMUSG00000075324",0.854427508028232,0.295041970241968,"Fign","2","fidgetin","magenta"
