"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0050808","synapse organization",0.0827943078913325,0.0171444436732144,1.31114358879227e-25,6.29873380055806e-22,4.69251389673022e-22,"Drp2/Cttnbp2/Pdgfb/Sez6/Ncan/Igf1r/Neurl1a/Chrd/Homer1/Etv5/Pten/Prrt1/Wasf1/Fyn/Nrcam/Ptk2/Shank3/Baiap2/Nptx1/Arhgef9/Cnksr2/Epha4/Lrp4/Itpka/Nfia/Wnt7a/Plxnd1/Grin2b/Slc8a2/Cyfip1/Cttn/Cdkl5/Col4a1/Sorbs2/Nectin1/Nedd4/Bsn/Ppp1r9a/Gabrb3/Arhgap39/Dbn1/Unc13a/Filip1/Pdzrn3/Palm/Dgkb/Shank2/Zfp365/Abhd17c/Dag1/Erc2/Reln/Synpo/Slitrk3/Cdk5r1/Prkca/Lrrtm4/Camk2b/Cacnb2/Grin2a/Lrrtm1/Kalrn/Syngap1/Sptbn2",64,"brown"
"GO:0007409","axonogenesis",0.0595084087968952,0.0171097383216492,2.76583964825741e-13,1.66088670877857e-10,1.23734931632568e-10,"Lhx2/Smo/Tiam1/Efnb3/Map2k1/Igf1r/Nfib/Pten/Adcy1/Nrcam/Foxg1/Fezf2/Ptk2/Twf2/Tiam2/Mark2/Rnf165/Nptx1/Fn1/Epha4/Lrp4/Efna3/Dab1/Auts2/Wnt7a/Plxnd1/Cyfip1/Cttn/Cdkl5/Nectin1/Dscaml1/Dbn1/Dag1/Reln/Trim46/Plppr4/Slitrk3/Cdk5r1/Lgr4/Prkca/Slit3/Chn1/Cxcl12/Zic2/Kalrn/Syngap1",46,"brown"
"GO:0050767","regulation of neurogenesis",0.0582147477360931,0.0157909349621712,6.41559812684538e-14,4.40293334305217e-11,3.28015543327433e-11,"Lhx2/Smo/Tiam1/Efnb3/Map2k1/Neurl1a/Rnf112/Etv5/Pten/Foxg1/Fezf2/Ptk2/Shank3/Twf2/Tiam2/Sox8/Baiap2/Fn1/Epha4/Lrp4/Itpka/Tnik/Arhgef2/Ppp3ca/Dab1/Ski/Wnt7a/Plxnd1/Cyfip1/Cdkl5/Il34/Cx3cl1/Dbn1/Zfp365/Dag1/Reln/Trim46/Cdk5r1/Rgs14/Arntl/Per2/Camk2b/Cxcl12/Kalrn/Syngap1",45,"brown"
"GO:0048167","regulation of synaptic plasticity",0.055627425614489,0.0131186228916499,1.7102553990043e-15,2.73868897893888e-12,2.04030468653144e-12,"Crtc1/Neurl1a/Nsmf/Chrd/Pten/Prrt1/Mpp2/Adcy1/Tshz3/Cyp46a1/Plk2/Jph4/Shank3/Camk2a/Rin1/Baiap2/Cplx2/Epha4/Slc4a10/Itpka/Calb1/Ncdn/Grin2b/Slc8a2/Ptpn5/Ppp1r9a/Dbn1/Unc13a/Pmch/Lzts1/Shank2/Erc2/Rims1/Reln/Synpo/Rgs14/Camk2b/Grin2a/Ptk2b/Lrrtm1/Kalrn/Mapk1/Syngap1",43,"brown"
"GO:0007264","small GTPase mediated signal transduction",0.0530401034928849,0.0149580065246061,3.00001218711988e-12,1.31018714062944e-09,9.76080520211252e-10,"Tiam1/Map2k1/Cyth1/Tnfaip1/Ksr1/Wasf1/Kitl/Net1/Plk2/Tiam2/Baiap2/Dock9/Arhgef9/Ralgps2/Itgav/Arhgef2/Dab1/Auts2/Rasgef1a/Cyfip1/Psd3/Arhgap17/Stard8/Mcf2l/Ogt/Dennd1a/Arhgap33/Mmd2/Dock3/Arhgap32/Kif14/Rapgef5/Reln/Ccdc125/Prag1/Cdc42se2/Rhob/Rras2/Chn1/Kalrn/Syngap1",41,"brown"
"GO:0031346","positive regulation of cell projection organization",0.0504527813712807,0.0153744707433886,1.05173796085775e-10,3.15784322747539e-08,2.35257175455023e-08,"Sez6/Tiam1/Crtc1/Map2k1/Igf1r/Neurl1a/Fyn/Twf2/Tiam2/Mark2/Baiap2/Fn1/Epha4/Entr1/Itpka/Tnik/Tmem106b/Auts2/Plxnd1/Lrp6/Cyfip1/Ptpn5/Cdkl5/Cx3cl1/Mns1/Ppp1r9a/Plppr5/Dbn1/Grn/Palm/Cbfa2t2/Enc1/Arsb/Reln/Camk2b/Ptk2b/Cxcl12/Kalrn/Sphk1",39,"brown"
"GO:0016358","dendrite development",0.0491591203104787,0.011001596446172,1.42279899957266e-14,1.13918773232451e-11,8.48687122552113e-12,"Sez6/Crtc1/Neurl1a/Nsmf/Pten/Fyn/Mink1/Plk2/Fezf2/Shank3/Camk2a/Baiap2/Epha4/Lrp4/Itpka/Tnik/Ppp3ca/Mpdz/Dab1/Tmem106b/Wnt7a/Cyfip1/Mef2a/Cdkl5/Nedd4/Ppp1r9a/Dbn1/Grn/Palm/Dcdc2a/Lzts1/Zfp365/Reln/Cdk5r1/Camk2b/Abi1/Kalrn/Syngap1",38,"brown"
"GO:0007015","actin filament organization",0.0478654592496766,0.0158950510168668,3.37890421823774e-09,5.4107519548047e-07,4.03097345333625e-07,"Actn1/Tnfaip1/Elmo2/Wasf1/Sptbn1/Cyria/Trim27/Iqgap2/Dmtn/Shank3/Twf2/Diaph1/Add3/Baiap2/Tmeff2/Arhgef2/Add1/Mtpn/Cyfip1/Arhgap17/Cttn/Sorbs2/Cx3cl1/Smad3/Ppp1r9a/Gas7/Diaph2/Dbn1/Mical2/Coro2b/Synpo/Fam171a1/Rhob/Actn4/Sptan1/Abi1/Ptk2b",37,"brown"
"GO:0099173","postsynapse organization",0.0465717981888745,0.00718400777399875,4.00353969822976e-19,9.61650235514789e-16,7.16422893367431e-16,"Igf1r/Homer1/Etv5/Pten/Fyn/Nrcam/Shank3/Baiap2/Nptx1/Arhgef9/Cnksr2/Epha4/Lrp4/Itpka/Wnt7a/Grin2b/Cttn/Cdkl5/Sorbs2/Ppp1r9a/Arhgap39/Dbn1/Dgkb/Shank2/Zfp365/Abhd17c/Reln/Slitrk3/Cdk5r1/Lrrtm4/Camk2b/Grin2a/Lrrtm1/Kalrn/Syngap1/Sptbn2",36,"brown"
"GO:0050803","regulation of synapse structure or activity",0.0465717981888745,0.00940515027417228,2.87754347738953e-15,3.45592971634483e-12,2.57464416398011e-12,"Cttnbp2/Ncan/Neurl1a/Homer1/Etv5/Pten/Fyn/Nrcam/Ptk2/Shank3/Baiap2/Nptx1/Epha4/Lrp4/Itpka/Wnt7a/Grin2b/Cyfip1/Cdkl5/Nectin1/Nedd4/Ppp1r9a/Dbn1/Dgkb/Shank2/Abhd17c/Dag1/Reln/Slitrk3/Cdk5r1/Prkca/Lrrtm4/Camk2b/Lrrtm1/Kalrn/Syngap1",36,"brown"
