"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0010959","regulation of metal ion transport",0.0521472392638037,0.0154785867980843,1.53754997313834e-05,0.0161478298382184,0.0142485471964822,"Crhr2/Plcg1/Rapgef3/Calcr/Gal/Oprl1/Adcyap1r1/Ikbkb/Scn5a/Gnai2/Cbarp/Fxyd7/Tgfb2/F2r/Oprd1/Fxyd6/Kcne1l",17,"pink"
"GO:0007389","pattern specification process",0.049079754601227,0.0170056222669536,0.000166402778133016,0.0497676690534462,0.043914073189489,"Prkacb/Dop1b/Dlx2/Dync2li1/Bhlhe41/Adgrg1/Heyl/Poglut1/Sema3f/Wdr19/Gpr161/Megf8/Acvr2b/Ssbp3/Frat1/Pgap1",16,"pink"
"GO:0007264","small GTPase mediated signal transduction",0.0460122699386503,0.0149580065246061,0.000133322953229526,0.0497676690534462,0.043914073189489,"Sh2b2/Rnd3/Rufy1/Rapgef3/Cdh2/Adcyap1r1/Rerg/Nucb1/Adgrg1/Apoa1/Sos2/Dhcr24/Ctnnal1/Tgfb2/F2r",15,"pink"
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",0.0337423312883436,0.00787811480530298,6.08671487536528e-05,0.0365401594810168,0.0322423627291392,"Crhr2/Prkacb/Calcr/Galr1/Oprl1/Adcyap1r1/Adgrg1/Gnai2/Gpr161/Mrap2/Oprd1",11,"pink"
"GO:0007218","neuropeptide signaling pathway",0.0245398773006135,0.00308877628930381,7.85562222545372e-06,0.0161478298382184,0.0142485471964822,"Glra1/Glra2/Galr1/Gal/Oprl1/Hcrtr1/Glra3/Oprd1",8,"pink"
"GO:0090305","nucleic acid phosphodiester bond hydrolysis",0.0245398773006135,0.00343582980495592,1.72693465862418e-05,0.0161478298382184,0.0142485471964822,"Rcl1/Cstf2/Cpsf7/Zc3h12b/Edc4/Exosc2/Iho1/Nynrin",8,"pink"
"GO:0090501","RNA phosphodiester bond hydrolysis",0.0184049079754601,0.00235996390643437,0.000121576561363521,0.0497676690534462,0.043914073189489,"Rcl1/Cstf2/Cpsf7/Zc3h12b/Exosc2/Nynrin",6,"pink"
"GO:0106072","negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway",0.0122699386503067,0.00052058027347817,1.98987428690307e-05,0.0161478298382184,0.0142485471964822,"Crhr2/Oprl1/Gnai2/Mrap2",4,"pink"
"GO:0106070","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway",0.0122699386503067,0.000694107031304227,6.75418844381086e-05,0.0365401594810168,0.0322423627291392,"Crhr2/Oprl1/Gnai2/Mrap2",4,"pink"
"GO:0008211","glucocorticoid metabolic process",0.0122699386503067,0.000867633789130284,0.000168651990014759,0.0497676690534462,0.043914073189489,"Nr3c1/Gal/Mecp2/Apoa1",4,"pink"
