"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",0.046,0.0149233011730409,1.63328057351656e-11,7.59066409040139e-08,5.98041464585876e-08,"Fbxo9/Clgn/Rad23a/Calr/Psmd4/Cav1/Faf1/Dnajb9/Rnf5/Ube2a/Uchl5/Hsp90b1/Mapk9/Canx/Rnf185/Ubxn2a/Psmc5/Mapk8/Hsp90ab1/Cul2/Dnajc18/Fbxl15/Ddit3/Ube2j1/Dcaf12/Tmub1/Fbxo44/Anapc4/Glmn/Cul1/Psmd10/Cul5/Prickle1/Ankrd9/Rnf144b/Ufl1/Fbxl4/Wwp1/Sgtb/Rnf103/Pcbp2/Gsk3a/Birc2/Rnf14/Pcnp/Svip",46,"brown"
"GO:0006914","autophagy",0.042,0.0161032831262581,1.87197459802016e-08,1.02043415309855e-05,8.03963827360239e-06,"Stk11/Ctsd/Rnf5/Atp6v0a1/Rnf185/Xbp1/Ubxn2a/Sptlc2/Hif1a/Atg10/Bnip3l/Arsa/Dnm1l/Fundc1/Chmp6/Ddit3/Optn/Lrsam1/Atg13/Ufm1/Dcaf12/Mfn2/Cptp/Vps33a/Fundc2/Parl/Chmp7/Atp13a2/Dap/Ufl1/Vps41/Cltc/Rnf152/Tmem41b/Trim32/1600014C10Rik/Fez2/Ilrun/Gsk3a/Scoc/Svip/Bnip3",42,"brown"
"GO:0061919","process utilizing autophagic mechanism",0.042,0.0161032831262581,1.87197459802016e-08,1.02043415309855e-05,8.03963827360239e-06,"Stk11/Ctsd/Rnf5/Atp6v0a1/Rnf185/Xbp1/Ubxn2a/Sptlc2/Hif1a/Atg10/Bnip3l/Arsa/Dnm1l/Fundc1/Chmp6/Ddit3/Optn/Lrsam1/Atg13/Ufm1/Dcaf12/Mfn2/Cptp/Vps33a/Fundc2/Parl/Chmp7/Atp13a2/Dap/Ufl1/Vps41/Cltc/Rnf152/Tmem41b/Trim32/1600014C10Rik/Fez2/Ilrun/Gsk3a/Scoc/Svip/Bnip3",42,"brown"
"GO:0042176","regulation of protein catabolic process",0.04,0.0136392031651281,1.49509401877164e-09,1.46698625121873e-06,1.15578636566936e-06,"Rad23a/Cav1/Faf1/Uchl5/Mapk9/Rnf185/Xbp1/Ubxn2a/Hsp90aa1/Mapk8/Laptm4b/Usp25/Hsp90ab1/Chmp6/Pdcl3/Usp8/Glmn/Tmf1/Timp4/Ccdc22/Psmd10/Psme3ip1/Rnft2/Dysf/Rhbdd3/Nsf/Prickle1/Atp13a2/Rnf144b/Mylip/Nfe2l1/Ufl1/Wwp1/Sgsm3/Trim32/Nell1/Gpc3/Gsk3a/Rnf14/Svip",40,"brown"
"GO:0072594","establishment of protein localization to organelle",0.04,0.01478447976678,1.48431161522557e-08,1.02043415309855e-05,8.03963827360239e-06,"Tpr/Tmco6/Nol3/Nolc1/Sec63/Hspa4/Xbp1/Nfkbia/Timm9/Hsp90aa1/Zfyve16/Fgf9/Mipep/Bnip3l/Cdkn1a/Hsp90ab1/Nabp2/Ddit3/Cct8/Hgs/Tspan17/Lrsam1/Sec62/Ufm1/Mfn2/Agk/Zfand6/Vps36/Srpr/Parl/Nup54/Prickle1/Gcc2/Pex2/Vps41/Sgtb/Gsk3a/Timm17a/Cacng7/Ranbp6",40,"brown"
"GO:0010639","negative regulation of organelle organization",0.039,0.0129450961338238,1.10969052751756e-09,1.36103543200029e-06,1.0723114781696e-06,"Tom1l2/Flii/Tpr/Tinf2/Bcl2l1/Evi5l/Clip3/Nol3/Trim37/Zwint/Pttg1/Ppif/Rad21/Dnm1l/Ik/Stmn2/Nbn/Mfn2/Mad1l1/Fkbp4/Anapc15/Psmd10/Smarca5/Terf2/Cgnl1/Tbc1d4/Dysf/Cdk10/Parl/Gas2l1/Mad2l1bp/Tbcd/Plekhh2/Ghitm/Kank3/Fez2/Ctnna2/Capza1/Bnip3",39,"brown"
"GO:0006887","exocytosis",0.037,0.0143680155479975,1.79610030488328e-07,4.89537116430966e-05,3.85688907574936e-05,"Rab3b/Gab2/Syngr3/Bcl2l1/Rab5a/Mical1/Rab21/Exoc7/Vamp2/Glrx/Scamp1/Rab3c/Dnm1l/Hgs/Syt2/Snap25/Rab13/Chrnb2/Vamp1/Sytl2/Syt3/Stx4a/Stx1b/Ap1g1/Snx19/Lgi3/Exoc3/Nsf/Syt1/Atp13a2/Sv2a/Chrm2/Rab11fip5/Sphk2/Dtnbp1/Ncs1/Rap1a",37,"brown"
"GO:0031331","positive regulation of cellular catabolic process",0.037,0.0159991670715624,2.40984609071799e-06,0.000371791092197191,0.000292920996963564,"Stk11/Rad23a/Cav1/Faf1/Mapk9/Rnf185/Xbp1/Sptlc2/Hif1a/Hsp90aa1/Mapk8/Bnip3l/Rida/Acsl5/Ddit3/Paip1/Optn/Lrsam1/Atg13/Ccdc22/Psmd10/Casp3/Rnft2/Prickle1/Rnf144b/Cpeb3/Ufl1/Grsf1/Rnf152/Trim32/Abcd2/Gsk3a/Rnf14/Scoc/Lin28b/Svip/Bnip3",37,"brown"
"GO:0016050","vesicle organization",0.036,0.00996043589921566,3.09444112939315e-11,7.59066409040139e-08,5.98041464585876e-08,"Cav2/Rab5b/Coro1c/Rab5a/Vamp2/Golph3/Laptm4b/Yipf4/Chmp6/Als2/Syt2/Snap25/Usp8/Sec23b/Rab13/Ccdc136/Tmf1/Vamp1/Syt3/Stx4a/Stx1b/Ap1s2/Aktip/Snx19/Tbc1d4/Dysf/Chmp7/Tmem127/Syt1/Atp13a2/Snx10/Vps41/Pheta1/Insig1/Vapb/Dtnbp1",36,"brown"
"GO:0006397","mRNA processing",0.036,0.0163809259387798,1.02028136137739e-05,0.000926944510910647,0.000730306658670134,"Paf1/Wdr83/Nol3/Snrpf/Slu7/Habp4/Ptcd2/Zcrb1/Cdc5l/Ik/Smndc1/Cwf19l1/Cwf19l2/BC005624/Aar2/Rprd1b/Mbnl1/Psip1/Elavl4/Sf3a3/Snrnp35/Cpsf1/Rsrc1/Ddx1/Nsrp1/Rbm8a/Ramac/Sart1/Cpeb3/Cir1/Csdc2/Thrap3/Grsf1/Lsm10/Adarb2/Txnl4a",36,"brown"
